TAXON,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,SPECIES,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC
Schoenoplectus acutus var. occidentalis,Tule,Schoenoplectus,Schoenoplectus acutus,var.,occidentalis,Schoenoplectus acutus var. occidentalis (S.Watson) S.G.Sm.,,,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,T4,NNR,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), NM(SNR), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S3)",BC(SNR),
Sedum divergens,Sedum,Sedum,Sedum divergens,NA,NA,Sedum divergens S.Watson,,,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"AK(S1), CA(S2), OR(SNR), WA(SNR)","AB(S2), BC(S5)",
Sedum oreganum,Sedum,Sedum,Sedum oreganum,NA,NA,Sedum oreganum Nutt. ex Torr. & A.Gray,,N,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"AK(S1S2), CA(SNR), OR(SNR), WA(SNR)",BC(S5),
Sedum oreganum subsp. oreganum,Sedum,Sedum,Sedum oreganum,subsp.,oreganum,Sedum oreganum subsp. oreganum,,N,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,TNR,NNR,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(S5),
Sedum oreganum subsp. tenue,Sedum,Sedum,Sedum oreganum,subsp.,tenue,Sedum oreganum subsp. tenue R.T.Clausen,Y,N,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,TNR,NNR,"OR(SNR), WA(SNR)",BC(S5),
Sedum spathulifolium,Sedum,Sedum,Sedum spathulifolium,NA,NA,Sedum spathulifolium Hook.,,Y,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"CA(SNR), OR(S4), WA(SNR)",BC(S5),
Sedum spathulifolium var. pruinosum,Sedum,Sedum,Sedum spathulifolium,var.,pruinosum,Sedum spathulifolium var. pruinosum (Britton) B.Boivin,,Y,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,T4,N5,"CA(SNR), OR(SNR), WA(SNR)",BC(SNR),
Shepherdia argentea,Buffaloberry,Shepherdia,Shepherdia argentea,NA,NA,Shepherdia argentea (Pursh) Nutt.,,,Y,N,Y,fruit,Y,Food,Food,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,N4,"AZ(S2), CA(SNR), CO(S2?), IA(S2), ID(SNR), KS(S1), MI(SNA), MN(SNR), MT(S4), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNA), OR(SNR), SD(SNR), UT(SNR), WI(SNR), WY(S3S4)","AB(S3), BC(SNA), MB(S3S4), ON(SNA), QC(SNA), SK(S4)",
Shepherdia canadensis,Buffaloberry,Shepherdia,Shepherdia canadensis,NA,NA,Shepherdia canadensis (L.) Nutt.,,,Y,N,Y,fruit,Y,Food,Food,NA,Fruits,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,G5,N5,"AK(SNR), AZ(S4), CA(S1), CO(SNR), ID(SNR), IL(S1), IN(SX), ME(S1), MI(SNR), MN(S3), MT(S4S5), ND(SNR), NM(SNR), NV(SNR), NY(S4), OH(S3), OR(SNR), PA(S1), SD(SNR), UT(SNR), VT(S3), WA(SNR), WI(SNR), WY(S4S5)","AB(S5), BC(S5), LB(S1S3), MB(S5), NB(S2), NF(S4), NS(S2S3), NT(SNR), NU(SU), ON(S5), QC(S4), SK(S4), YT(S5)",
Silphium integrifolium,Rosinweed,Silphium,Silphium integrifolium,NA,NA,Silphium integrifolium Michx.,,Y,N,Y,Y,potential as an oilseed crop (see Reinert 2019),N,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,,G5,NNA,"AL(SNR), AR(SNR), CO(SH), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S3S4), LA(SNR), MI(S2), MN(SNA), MO(SNR), MS(SNR), NE(SNR), NM(SNR), OH(SNR), OK(SNR), SD(S1), TN(SNR), TV(SNR), TX(SNR), WI(SNR), WY(S1)",ON(SNA),
